date,company_code,is_copied,last_published,changes_24h,changes_7d,added_24h,removed_24h,added_7d,removed_7d,contributors_7d,contributors_all_time,changes_1y,added_1y,removed_1y,stars,copy,watchers,market_cap_rank,price_share_usd,market_cap_usd,parsed_language
1/21/2018,BBN,1,48.0,0,0,0,0,0,0,0,0,35,0,0,21,13,4,27,16.2489,1608868585.0,0
1/21/2018,CBT,0,1.0,0,3,0,0,3,3,2,100,258,56842,18695,1875,1075,458,1,12899.2,217000000000.0,10
1/21/2018,HBC,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2032.12,34388779314.0,14
1/21/2018,GBT,0,360.0,0,0,0,0,0,0,0,1,7,0,0,2,1,1,16,231.125,3877413344.0,14
1/21/2018,AAD,0,504.0,0,0,0,0,0,0,0,2,7,0,0,1,1,14,5,0.70751,18343661676.0,8
1/21/2018,HDA,1,1320.0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12,928.134,7267447336.0,0
1/21/2018,SEO,1,504.0,0,2,0,0,10,0,1,6,32,0,0,19,17,20,9,15.6612,9666492680.0,1
1/21/2018,HET,0,18.0,0,0,0,0,0,0,0,14,0,0,0,41,29,25,2,1155.68,112000000000.0,14
1/21/2018,CET,0,168.0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,18,35.494,3523312620.0,5
1/21/2018,XIC,0,4608.0,0,0,0,0,0,0,0,2,22,381,99,0,15,3,15,10.3311,3926282941.0,10
1/21/2018,AMI,0,216.0,0,0,0,0,0,0,0,11,108,23070,6447,73,48,18,11,3.00725,8358742444.0,7
1/21/2018,KLS,0,4584.0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,19,25.4259,2980192419.0,8
1/21/2018,CLT,1,1656.0,0,0,0,0,0,0,0,0,0,542195,380303,4,3,14,6,211.235,11585686980.0,7
1/21/2018,RXM,0,20.0,0,0,0,0,0,0,0,16,177,0,0,18,20,9,13,384.532,6008720392.0,14
1/21/2018,MXE,1,2760.0,0,0,0,0,0,0,0,100,0,0,0,1,0,12,7,1.22437,11019329999.0,12
1/21/2018,ONE,0,96.0,4,7,9709,181,9811,241,5,67,251,0,0,121,162,33,8,150.228,9764820000.0,2
1/21/2018,GOM,1,1416.0,0,0,0,0,0,0,0,100,8,0,0,3,0,23,22,19.7353,2013840372.0,11
1/21/2018,TPP,0,504.0,0,0,0,0,0,0,0,1,3,0,0,1,0,9,23,49.798,1842726531.0,14
1/21/2018,MQT,1,504.0,0,0,0,0,0,0,0,1,8,24853,9007,1,0,2,17,51.7112,3817440340.0,0
1/21/2018,BXR,0,0.005555555555555556,2,6,409,4,2484,16,6,24,805,545436,367929,1439,253,214,20,19.6623,2619967837.0,1
1/21/2018,PXR,0,504.0,0,0,0,0,0,0,0,1,8,0,0,5,5,8,3,1.57623,61061799073.0,6
1/21/2018,CSC,1,7152.0,0,0,0,0,0,0,0,98,15,0,0,2,1,7,28,0.0508186,1595508194.0,5
1/21/2018,MXL,0,18768.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0.534347,9560795325.0,14
1/21/2018,TST,1,264.0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,29,16.0559,1584855398.0,12
1/21/2018,XTR,0,0.21666666666666667,7,44,215,159,77790,71766,7,20,288,74346,50250,859,183,264,14,0.0848682,5579930749.0,7
1/21/2018,NVE,1,504.0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,21,8.1689,2264113836.0,14
1/21/2018,GXV,1,744.0,0,0,0,0,0,0,0,20,0,711083,493014,1,0,2,26,0.109132,1609419393.0,7
1/21/2018,CZE,0,7992.0,0,0,0,0,0,0,0,5,66,0,0,2,6,7,24,559.724,1735777588.0,10
1/22/2018,BBN,1,96.0,0,0,0,0,0,0,0,2,35,0,0,21,14,4,27,12.9558,1282805581.0,0
1/22/2018,CBT,0,2.0,0,0,0,0,0,0,0,100,258,56842,18695,1882,1081,461,1,10958.1,184000000000.0,10
1/22/2018,HBC,0,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1655.05,28013996944.0,14
1/22/2018,GBT,0,408.0,0,0,0,0,0,0,0,1,7,0,0,2,1,1,15,190.374,3194523045.0,14
1/22/2018,AAD,0,552.0,0,0,0,0,0,0,0,2,7,2808,20,1,1,14,5,0.575405,14918566023.0,8
1/22/2018,HDA,1,1368.0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12,784.363,6144856214.0,0
1/22/2018,SEO,1,552.0,0,2,0,0,10,0,1,6,32,0,0,19,17,20,9,13.5268,8407464534.0,1
1/22/2018,HET,0,48.0,0,0,0,0,0,0,0,14,0,0,0,41,29,25,2,1006.97,97827231948.0,14
1/22/2018,CET,0,216.0,0,0,0,0,0,0,0,0,5,59121,36519,0,0,6,18,29.4617,2925973622.0,5
1/22/2018,XIC,0,4632.0,0,0,0,0,0,0,0,0,22,0,0,0,15,3,16,8.31936,3161731204.0,10
1/22/2018,AMI,0,240.0,0,0,0,0,0,0,0,0,108,23070,6447,73,48,18,11,2.49587,6937346247.0,7
1/22/2018,KLS,0,4608.0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,19,21.8147,2558462920.0,8
1/22/2018,CLT,1,1680.0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,6,179.655,9858866021.0,7
1/22/2018,RXM,0,72.0,0,0,0,0,0,0,0,0,177,0,0,18,20,9,13,317.479,4963538163.0,14
1/22/2018,MXE,1,2808.0,0,0,0,0,0,0,0,0,0,412940,244494,1,0,12,7,0.986846,8881613999.0,12
1/22/2018,ONE,0,3.0,0,5,0,0,9710,182,4,67,255,0,0,124,164,33,10,123.85,8050250000.0,2
1/22/2018,GOM,1,1440.0,0,0,0,0,0,0,0,100,8,298980,116384,3,0,23,23,15.7069,1602772156.0,11
1/22/2018,TPP,0,552.0,0,0,0,0,0,0,0,1,3,0,0,1,0,10,24,42.5482,1574454737.0,14
1/22/2018,MQT,1,552.0,0,0,0,0,0,0,0,1,4,24853,9007,1,0,2,17,40.2636,2972549655.0,0
1/22/2018,BXR,0,0.6166666666666667,4,14,36,33,2587,205,9,26,807,545588,368120,1460,259,215,21,14.8016,1972287878.0,1
1/22/2018,PXR,0,14.0,0,0,0,0,0,0,0,1,8,0,0,6,5,8,3,1.34481,52096786644.0,6
1/22/2018,CSC,1,7200.0,0,0,0,0,0,0,0,0,15,0,0,2,2,7,28,0.039882,1252141102.0,5
1/22/2018,MXL,0,18816.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0.480392,8583578482.0,14
1/22/2018,TST,1,288.0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,29,11.9529,1179885583.0,12
1/22/2018,XTR,0,4.0,0,28,0,0,43902,39646,5,20,295,74346,50250,879,188,263,14,0.0704188,4629908816.0,7
1/22/2018,NVE,1,552.0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,20,8.30816,2302711505.0,14
1/22/2018,GXV,1,792.0,0,0,0,0,0,0,0,20,0,711083,493014,1,0,2,26,0.0953762,1383230485.0,7
1/22/2018,CZE,0,8016.0,0,0,0,0,0,0,0,5,64,0,0,2,6,7,25,450.042,1402204298.0,10
1/23/2018,BBN,1,96.0,0,0,0,0,0,0,0,0,35,27767,601,21,14,4,27,12.5972,1247299161.0,0
1/23/2018,CBT,0,2.0,1,2,916,0,1832,0,2,100,258,57758,18695,1884,1081,460,1,10803.4,182000000000.0,10
1/23/2018,HBC,0,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1603.93,27149101587.0,14
1/23/2018,GBT,0,432.0,0,0,0,0,0,0,0,1,7,0,0,2,2,1,15,187.861,3152384808.0,14
1/23/2018,AAD,0,552.0,0,0,0,0,0,0,0,2,7,2808,20,1,1,14,5,0.561977,14570417320.0,8
